Transaction Date,Value Date,Particulars,Cheque No.,Debit,Credit,Balance
01-Apr-2018,01-Apr-2018,IMPS-MOB/Fund Trf/809119519742/Oma,1.00,22.62
01-Apr-2018,01-Apr-2018,IMPS-MOB/Fund Trf/809119553510/Oma,"2,000.00","2,022.62"
03-Apr-2018,03-Apr-2018,NACH/TP ACH Bajaj Finanac/88551679,"1,912.00",110.62
04-Apr-2018,04-Apr-2018,APB-INW/HP644950 000009 3003,170.20,280.82
04-Apr-2018,04-Apr-2018,POS-VISA/KARUN MEDICAL/809414290216,75.00,205.82
05-Apr-2018,05-Apr-2018,IMPS-MOB/Fund Trf/809521437177/NITI,"3,200.00","3,405.82"
10-Apr-2018,10-Apr-2018,BILLPAY/RECH/VODAFONE PRE/181000095,509.00,"2,896.82"
10-Apr-2018,10-Apr-2018,ATM-NFS/CASH WITHDRAWAL/+DONGRI OAT,"2,000.00",896.82
14-Apr-2018,14-Apr-2018,ATM-NFS/CASH,WITHDRAWAL/+HIRANANDAN,500.00,396.82
20-Apr-2018,20-Apr-2018,IMPS-RIB/Fund Trf/811010759849/Pay,300.00,96.82
20-Apr-2018,20-Apr-2018,IMPS-RIB/FT-REV/811010759849/Pay Rs,300.00,396.82
20-Apr-2018,20-Apr-2018,POS-VISA/MANSI MEDICAL/811013502615,75.00,321.82
22-Apr-2018,22-Apr-2018,IMPS-MOB/Fund Trf/811212400262/Chan,1.00,322.82
22-Apr-2018,22-Apr-2018,IMPS-MOB/Fund Trf/811212428216/Chan,"4,999.00","5,321.82"
22-Apr-2018,22-Apr-2018,IMPS-RIB/Fund Trf/811212820665/Pay,"1,000.00","4,321.82"
22-Apr-2018,22-Apr-2018,IMPS-RIB/Fund Trf/811213820961/Pay,500.00,"3,821.82"
23-Apr-2018,23-Apr-2018,ATM-NFS/CASH,WITHDRAWAL/+HIRANANDAN,"1,000.00","2,821.82"
23-Apr-2018,23-Apr-2018,IMPS-RIB/Fund Trf/811320861437/Pay,"2,500.00",321.82
23-Apr-2018,23-Apr-2018,IMPS-RIB/Fund Trf/811321862644/Pay,300.00,21.82
03-May-2018,03-May-2018,IMPS-INET/Fund Trf/812321002185/Cha,"2,000.00","2,021.82"
05-May-2018,05-May-2018,NACH/TP ACH Bajaj Finanac/97127969,"1,912.00",109.82
09-May-2018,09-May-2018,ATM-NFS/CASH WITHDRAWAL/+WHITE HOUS,100.00,9.82
