Transaction Date,Value Date,Particulars,Cheque No.,Debit,Credit,Balance
19-Jun-2018,19-Jun-2018,APB-INW/HP644950 018603 1106,180.19,356.47
30-Jun-2018,30-Jun-2018,CREDIT INTEREST CRED,9.00,365.47
01-Jul-2018,01-Jul-2018,IMPS-MOB/Fund Trf/818200008670/RID-,"2,000.00","2,365.47"
02-Jul-2018,02-Jul-2018,NACH/TP ACH Bajaj Finanac/108265552,"1,912.00",453.47
03-Jul-2018,03-Jul-2018,POS-VISA/KARUN MEDICAL/818406584956,75.00,378.47
05-Jul-2018,05-Jul-2018,IMPS-MOB/Fund Trf/818600008933/RID-,"6,000.00","6,378.47"
05-Jul-2018,05-Jul-2018,BILLPAY/QUICK/Tata Power /181862237,"4,708.00","1,670.47"
06-Jul-2018,06-Jul-2018,POS-VISA/Chembur Trombay EducatMUMB,473.56,"1,196.91"
07-Jul-2018,07-Jul-2018,BILLPAY/RECH/VIDEOCON DTH/181882351,285.00,911.91
07-Jul-2018,07-Jul-2018,BILLPAY/RECH/AIRTEL PREPA/181882382,199.00,712.91
08-Jul-2018,08-Jul-2018,BILLPAY/RECH/IDEA PREPAID/181892448,398.00,314.91
13-Jul-2018,13-Jul-2018,POS-VISA/MANSI,MEDICAL/819413057303,75.00,239.91
13-Jul-2018,13-Jul-2018,POS-VISA/MANSI MEDICAL/819413154044,229.00,10.91
21-Jul-2018,21-Jul-2018,APB-INW/HP644950 027334 1307,234.41,245.32
24-Jul-2018,24-Jul-2018,ATM-NFS/CASH,WITHDRAWAL/+HIRANANDAN,100.00,145.32
24-Jul-2018,24-Jul-2018,ATM-NFS/CASH,WITHDRAWAL/+HIRANANDAN,100.00,45.32
02-Aug-2018,02-Aug-2018,IMPS-MOB/Fund Trf/821400010710/BAYY,"2,000.00","2,045.32"
06-Aug-2018,06-Aug-2018,ATM-NFS/CASH WITHDRAWAL/+GRANT ROAD,500.00,"1,545.32"
07-Aug-2018,07-Aug-2018,IMPS-INET/Fund Trf/821922266679/Cha,"1,000.00","2,545.32"
08-Aug-2018,08-Aug-2018,POS-VISA/MOBIKWK/822005940645,"2,362.00",183.32
13-Aug-2018,13-Aug-2018,ATM-NFS/CASH WITHDRAWAL/NEAR HINDUJ,100.00,83.32
15-Aug-2018,15-Aug-2018,POS-VISA/KARUN MEDICAL/822706734149,75.00,8.32
17-Aug-2018,17-Aug-2018,IMPS-RIB/Fund Trf/823000040666/Pay,3.00,5.32
31-Aug-2018,31-Aug-2018,IMPS-MOB/Fund Trf/824301262361/FINN,1.00,6.32
31-Aug-2018,31-Aug-2018,IMPS-MOB/Fund Trf/824301262609/FINN,"4,500.00","4,506.32"
